,RootMyc1,YawBrMyp,YawBrMzp
case_130_optimal_k_cases_turbsim_ref_outdata_130.mat,147134.02570099029,6277.243199937476,48551.9133690228
case_243_optimal_k_cases_turbsim_ref_outdata_243.mat,163114.40359756464,29458.93522486525,168318.81756818038
case_208_optimal_k_cases_turbsim_ref_outdata_208.mat,151118.7081705178,11840.63419613332,45583.341058188125
case_398_optimal_k_cases_turbsim_ref_outdata_398.mat,156209.24109690255,12312.556290487095,48214.14524434854
case_236_optimal_k_cases_turbsim_ref_outdata_236.mat,150952.329447152,11532.945091662576,41923.53776154983
case_423_optimal_k_cases_turbsim_ref_outdata_423.mat,163203.82380411224,29420.280332702965,168420.30217123104
case_100_optimal_k_cases_turbsim_ref_outdata_100.mat,151921.3264722992,7573.705727003115,57553.47507988798
case_175_optimal_k_cases_turbsim_ref_outdata_175.mat,139440.5897461015,5349.489557871712,34659.97769899965
case_193_optimal_k_cases_turbsim_ref_outdata_193.mat,157124.47227243413,11355.357229317915,51100.76700480368
case_35_optimal_k_cases_turbsim_ref_outdata_35.mat,148775.23135980728,11207.551506120408,48341.256455034796
case_340_optimal_k_cases_turbsim_ref_outdata_340.mat,141669.30955672576,5362.220243340631,34630.67688665668
case_57_optimal_k_cases_turbsim_ref_outdata_57.mat,176580.56255090644,35583.92778977417,204397.8845690228
case_335_optimal_k_cases_turbsim_ref_outdata_335.mat,139858.69117120287,10993.323583605792,34744.312564602915
case_59_optimal_k_cases_turbsim_ref_outdata_59.mat,144155.4040526267,11226.009272928102,35795.11547814406
case_270_optimal_k_cases_turbsim_ref_outdata_270.mat,144671.18668898658,19167.801071686237,92454.90579010357
case_395_optimal_k_cases_turbsim_ref_outdata_395.mat,148711.555060503,11208.132679793203,48369.67953193982
case_205_optimal_k_cases_turbsim_ref_outdata_205.mat,152927.0983971163,7613.75538815546,49022.526263707856
case_2_optimal_k_cases_turbsim_ref_outdata_2.mat,161703.61852231793,11011.34866448818,55114.115912670364
case_410_optimal_k_cases_turbsim_ref_outdata_410.mat,148485.08441002897,6328.558016517236,41327.34746081966
case_133_optimal_k_cases_turbsim_ref_outdata_133.mat,148030.63794687475,6190.669094312364,42247.59656654907
case_178_optimal_k_cases_turbsim_ref_outdata_178.mat,140247.84891465152,5305.771227015573,32134.027179895915
case_146_optimal_k_cases_turbsim_ref_outdata_146.mat,150953.46888053473,11532.60524774852,41909.49157933399
case_40_optimal_k_cases_turbsim_ref_outdata_40.mat,147135.44543370407,6277.646582325038,48637.75121123986
case_5_optimal_k_cases_turbsim_ref_outdata_5.mat,153592.94854882508,11795.115627340956,52112.89953436818
case_373_optimal_k_cases_turbsim_ref_outdata_373.mat,157126.0603500506,11355.359739692152,51110.30332516948
case_338_optimal_k_cases_turbsim_ref_outdata_338.mat,142950.95077249384,5711.147533026701,34857.753401253554
