,RootMyc1,YawBrMyp,YawBrMzp
case_427_optimal_k_cases_turbsim_wu_outdata_427.mat,141235.75300515883,5494.5918498665005,36052.907278596234
case_237_optimal_k_cases_turbsim_wu_outdata_237.mat,174887.56212714038,35140.81193951668,205236.45523333314
case_40_optimal_k_cases_turbsim_wu_outdata_40.mat,147574.00942979596,6301.272739441242,48651.08674459413
case_305_optimal_k_cases_turbsim_wu_outdata_305.mat,147452.91403725374,11272.502917197688,49066.136884780404
case_153_optimal_k_cases_turbsim_wu_outdata_153.mat,138730.78337394807,15049.260874413729,55758.446644895725
case_239_optimal_k_cases_turbsim_wu_outdata_239.mat,144152.56582760296,11227.099621986548,35693.01637785962
case_429_optimal_k_cases_turbsim_wu_outdata_429.mat,173964.1567145185,31537.179736971666,155228.48975118712
case_388_optimal_k_cases_turbsim_wu_outdata_388.mat,146657.46614966044,11926.249829307268,47993.12725198572
case_369_optimal_k_cases_turbsim_wu_outdata_369.mat,252196.45657578742,68051.00059320807,282701.7144007258
case_131_optimal_k_cases_turbsim_wu_outdata_131.mat,147458.36888717918,6297.518117811218,48609.29358579766
case_73_optimal_k_cases_turbsim_wu_outdata_73.mat,140507.3899797209,5497.646119043521,36532.0231573399
case_312_optimal_k_cases_turbsim_wu_outdata_312.mat,214270.92660500843,41451.53124139673,259934.96551007015
case_220_optimal_k_cases_turbsim_wu_outdata_220.mat,147132.70441689534,6277.224613859983,48637.06011299157
case_430_optimal_k_cases_turbsim_wu_outdata_430.mat,139388.63540892687,11315.016037930725,36675.88122419086
case_242_optimal_k_cases_turbsim_wu_outdata_242.mat,141032.94784491797,10919.340814494079,37784.40944274794
case_391_optimal_k_cases_turbsim_wu_outdata_391.mat,151066.84436471443,11680.368827602397,48048.05797302743
case_128_optimal_k_cases_turbsim_wu_outdata_128.mat,156372.0877700731,12298.56546983266,48309.097477902375
case_370_optimal_k_cases_turbsim_wu_outdata_370.mat,146857.9183573687,7610.449319224261,59684.66595158585
case_74_optimal_k_cases_turbsim_wu_outdata_74.mat,140507.3899797209,5497.646119043521,36532.0231573399
case_115_optimal_k_cases_turbsim_wu_outdata_115.mat,153126.1657486758,7535.6781742459125,48509.5995637269
case_53_optimal_k_cases_turbsim_wu_outdata_53.mat,147432.92281810453,11543.710355358282,41025.51187729018
case_196_optimal_k_cases_turbsim_wu_outdata_196.mat,153966.66058122634,6794.993326802961,51135.352330954265
case_177_optimal_k_cases_turbsim_wu_outdata_177.mat,137506.0126859284,13888.239802813632,55062.73597815596
case_287_optimal_k_cases_turbsim_wu_outdata_287.mat,152523.28995972834,6864.566927840906,51591.329057193965
case_354_optimal_k_cases_turbsim_wu_outdata_354.mat,144627.6102059367,20598.713023799653,132089.88234275646
case_266_optimal_k_cases_turbsim_wu_outdata_266.mat,139438.7041434349,5349.547778052011,34662.525788394414
case_54_optimal_k_cases_turbsim_wu_outdata_54.mat,139555.71287832307,12557.1520405734,58335.74129517293
case_414_optimal_k_cases_turbsim_wu_outdata_414.mat,206215.26293066112,40252.498830962475,195219.69199989937
case_204_optimal_k_cases_turbsim_wu_outdata_204.mat,208945.7061864559,40916.53862490717,274055.23584289075
case_336_optimal_k_cases_turbsim_wu_outdata_336.mat,172991.53245203051,30112.667625351925,191282.2517045856
